"Daten ID";"Entnahmedatum";"Entnahmezeit";"Witterung";"Schüttungsmenge";"Wassertemperatur";"Trübung";"Elektr Leitfähigkeit";"pH-Wert";"Sauerstoff";"Sauerstoffsättigung";"Chemische Analysen";"Bakteriologische Analysen";"Bemerkungen Messdaten"
676;20.08.1998 00:00:00;;"trocken";7.00;12.00;;304.00;;;;;;
675;20.08.1998 00:00:00;;"trocken";18.30;7.50;;310.00;;;;;;
674;01.07.1998 00:00:00;;"trocken";4.00;8.20;;294.00;;;;;;
673;01.07.1998 00:00:00;;"trocken";5.00;5.60;;213.00;;;;;;
672;20.08.1998 00:00:00;;"trocken";;6.30;;221.00;;;;;;
671;20.08.1998 00:00:00;;"trocken";;6.60;;195.00;;;;;;
670;01.07.1998 00:00:00;;"trocken";75.00;6.30;;188.00;;;;;;
669;01.07.1998 00:00:00;;"trocken";142.00;4.00;;186.00;;;;;;
668;01.07.1998 00:00:00;;"trocken";1.00;6.60;;301.00;;;;;;
667;01.07.1998 00:00:00;;"trocken";228.00;5.50;;210.00;;;;;;
666;01.07.1998 00:00:00;;"trocken";40.00;5.00;;192.00;;;;;;
665;01.07.1998 00:00:00;;"trocken";55.80;3.10;;194.00;;;;;;
175;20.08.1998 00:00:00;;"trocken";800.00;7.70;;210.00;;;;;;
174;01.07.1998 00:00:00;;"trocken";9.80;8.60;;268.00;;;;;;
164;20.08.1998 00:00:00;;"trocken";300.00;5.80;;213.00;;;;;;
163;01.07.1998 00:00:00;;"trocken";500.00;5.70;;160.00;;;;;;
162;20.08.1998 00:00:00;;"trocken";40.00;6.40;;218.00;;;;;;
161;01.07.1998 00:00:00;;"trocken";176.50;4.80;;197.00;;;;;;
9;25.08.1998 00:00:00;;;300.00;6.10;;96.00;;;;;;
10;25.08.1998 00:00:00;;;600.00;5.50;;90.00;;;;;;
18;25.08.1998 00:00:00;;;;3.80;;164.00;;;;;;
19;25.08.1998 00:00:00;;;22.20;5.20;;172.00;;;;;;
52;28.08.1998 00:00:00;;;2200.00;7.70;;769.00;;;;;;
53;28.08.1998 00:00:00;;;;11.00;;215.00;;;;;;
160;17.07.1998 00:00:00;;;;8.30;;233.00;;;;;;
646;17.07.1998 00:00:00;;;10.00;3.00;;231.00;;;;;;
647;17.07.1998 00:00:00;;;25.50;7.80;;230.00;;;;;;
648;17.07.1998 00:00:00;;;15.00;5.90;;252.00;;;;;;
649;17.07.1998 00:00:00;;;;9.00;;344.00;;;;;;
786;17.07.1998 00:00:00;;;20.00;3.80;;222.00;;;;;;
423;20.07.1998 00:00:00;;;250.00;;;;;;;;;
424;20.07.1998 00:00:00;;;900.00;8.40;;194.00;;;;;;
425;20.07.1998 00:00:00;;;94.00;8.90;;220.00;;;;;;
426;20.07.1998 00:00:00;;;30.00;8.40;;228.00;;;;;;
427;20.07.1998 00:00:00;;;22.80;10.20;;215.00;;;;;;
428;20.07.1998 00:00:00;;;85.60;7.30;;199.00;;;;;;
429;20.07.1998 00:00:00;;;63.70;7.50;;202.00;;;;;;
430;20.07.1998 00:00:00;;;40.00;7.70;;219.00;;;;;;
431;20.07.1998 00:00:00;;;30.50;7.60;;213.00;;;;;;
432;20.07.1998 00:00:00;;;;7.40;;212.00;;;;;;
438;20.07.1998 00:00:00;;;;8.80;;235.00;;;;;;
439;20.07.1998 00:00:00;;;254.00;6.50;;192.00;;;;;;
575;20.07.1998 00:00:00;;;5.00;13.70;;213.00;;;;;;
722;20.07.1998 00:00:00;;;1.01;13.80;;378.00;;;;;;
723;20.07.1998 00:00:00;;;103.60;10.30;;252.00;;;;;;
724;20.07.1998 00:00:00;;;;8.50;;268.00;;;;;;
787;20.07.1998 00:00:00;;;12.80;9.40;;242.00;;;;;;
50;28.08.1998 00:00:00;;;1190.00;4.60;;204.00;;;;;;
51;28.08.1998 00:00:00;;;405.00;4.90;;212.00;;;;;;
356;04.08.1998 00:00:00;;"trocken";110.90;5.20;;249.00;;;;;;
357;04.08.1998 00:00:00;;"trocken";6.40;6.60;;333.00;;;;;;
358;04.08.1998 00:00:00;;"trocken";9.70;7.50;;342.00;;;;;;
359;04.08.1998 00:00:00;;"trocken";18.20;8.10;;355.00;;;;;;
360;04.08.1998 00:00:00;;"trocken";436.40;606.00;;201.00;;;;;;
369;04.08.1998 00:00:00;;"trocken";212.60;7.40;;187.00;;;;;;
370;04.08.1998 00:00:00;;"trocken";101.00;7.40;;158.00;;;;;;
371;04.08.1998 00:00:00;;"trocken";54.40;7.90;;156.00;;;;;;
373;04.08.1998 00:00:00;;"trocken";100.00;7.70;;111.00;;;;;;
376;04.08.1998 00:00:00;;"trocken";168.10;8.10;;175.00;;;;;;
377;04.08.1998 00:00:00;;"trocken";21.60;8.00;;180.00;;;;;;
576;28.08.1998 00:00:00;;;600.00;7.20;;1125.00;;;;;;
577;28.08.1998 00:00:00;;;600.00;6.70;;1172.00;;;;;;
726;04.08.1998 00:00:00;;"trocken";18.10;7.50;;192.00;;;;;;
727;05.08.1998 00:00:00;;"trocken";71.70;9.10;;99.00;;;;;;
728;05.08.1998 00:00:00;;"trocken";115.60;9.00;;71.00;;;;;;
729;05.08.1998 00:00:00;;"trocken";87.00;4.40;;89.00;;;;;;
730;05.08.1998 00:00:00;;"trocken";150.00;4.50;;94.00;;;;;;
731;05.08.1998 00:00:00;;"trocken";45.00;2.70;;108.00;;;;;;
732;05.08.1998 00:00:00;;"trocken";14.20;5.50;;40.00;;;;;;
733;05.08.1998 00:00:00;;"trocken";8.30;4.80;;71.00;;;;;;
742;04.08.1998 00:00:00;;"trocken";12.30;8.00;;140.00;;;;;;
