Schluessel;Objektname;Lokalbezeichnung;Gemeinde;Postleitzahl;x-Koordinate;y-Koordinate;Parz_Nr;Fassungseigentuemer;OK_Terrain;Schachtueberstand;Ordnungs-Nr;Lagegenauigkeit;Verwendungszweck;Verwendungsart;Fassungsart;Fassungszustand;Fassungsabdeckung;Schachttyp;Datenherkunft;Kontaktperson;Bemerkungen Objektdaten;Foto;Fassung;Schutzzone;Anzahl_Zuleitungen;Schloss;Aufgenommen_durch;Erhebungsdatum;Alte_Ordnungs-Nr;Feldbegehung;Foto-Negativ-Nr_1;Foto-Negativ-Nr_2;Foto-Negativ-Nr_3;Objektbereinigung;WVA-Nutzung;WVA-Nutzung_ergaenzen;WVA-Nutzung_streichen;WVA-Nutzung_Lage_neu
;Quelle Jenny;Büel;Haslen GL;8773;723725;205085;43;Hansjörg Jenny, Dorfstr. 33, Haslen;554;unbekannt;;Koordinaten Quellenkataster Axpo Kabelanlagen;Heizung und Tränkewasser;Brunnen bei Stall, Heizung;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster Kabelrohrblock Linthal-Schwanden Los 5;Hansjörg Jenny, Dorfstr. 33, Haslen;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Matt 2;Matt;Haslen GL;8773;722370;203590;284;unbekannt;556;kein Quellschacht;;Koordinaten Quellenkataster Axpo Kabelanlagen;Tränkewasser;laufender Brunnen;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster Kabelrohrblock Linthal-Schwanden Los 4;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Mättli;Mättli;Haslen GL;8773;722533;203620;282;unbekannt;557;kein Quellschacht;;Koordinaten Quellenkataster Axpo Kabelanlagen;Tränkewasser;laufender Brunnen;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster Kabelrohrblock Linthal-Schwanden Los 4;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Tschuoppis;Tschuoppis;Hätzingen;8775;722340;203360;1;unbekannt;573;unbekannt;;Koordinaten Quellenkataster Axpo Kabelanlagen;Tränkewasser;Brunnen;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster Kabelrohrblock Linthal-Schwanden Los 4;;;;;;;;F. Brunold;;;;;;;;;;;
240;Blaue-Brunnen Quellen;Blaaben Brünnen;Klöntal;8750;714560;208920;2861;unbekannt;846;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;mehrere Quellaustritte;;;;;;F. Brunold;;;;;;;;;;;
229;Löntschbord-Quelle;Löntschbort;Klöntal;8750;720493;211672;3268;unbekannt;683;WV Gemeinde;;aus Plan gelesen;öffentliche Trinkwasserversorgung;WV Gemeinde;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
244;Richisauer Schwammhöchi-Quelle;Schwammhöchi;Klöntal;8750;712150;208750;2188;unbekannt;1137;unbekannt;;aus Plan gelesen;Tränkewasser;Viehtränke;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;;;;;;;;;;;;
241;Rossbrunnnen;Rossbrünnen;Klöntal;8750;714380;208945;2861;unbekannt;848;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;;;;;;;;;;;;
246;Silbern-Quelle;Silberenbrunnen;Klöntal;8750;713465;206205;2076;unbekannt;1401;unbekannt;;aus Plan gelesen mit Hilfe Flurnamen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Brunnengüetliquellen;Fürli;Linthal;8783;718280;194840;627;unbekannt;792;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;mehrere Quellaustritte;;;;;;F. Brunold;;;;;;;;;;;
;Felix- und Regulaquellen;Oberweid;Linthal;8783;718100;194260;621;unbekannt;827;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;mehrere Quellaustritte;;;;;;F. Brunold;;;;;;;;;;;
;Gnüssquellen;Oberweid;Linthal;8783;718190;194430;621;unbekannt;789;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;mehrere Quellaustritte;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Füdlentrog;Bodmenplanggen;Linthal;8783;720345;196420;;unbekannt;1695;unbekannt;;aus Plan gelesen;Tränkewasser;Alp Mitteldurnachtal;Reservoir;unbekannt;unbekannt;unbekannt;Tagwensrat Linthal-Matt, 17.05.2004;;;;;;;;F. Brunold;15-Jul-19;;;;;;;;;;
;Quellfassung Brünnen;Alprüti;Linthal;8783;716380;196503;808;unbekannt;1177;im Boden;;aus Plan gelesen;Trinkwasser;Schnyderberg, Eggli, Sonnenberg, Oberberg, Alprüti;Betonriegel und Lehmausbildung;unbekannt;Lehm;unbekannt;Jan und Felix Zweifel, Linthal;Jan Zweifel, Benken (076 824 11 40);;;;;;;F. Brunold;;;;;;;;;;;
;Schwefelquelle Stachelbergbad;Stegen;Linthal;8783;718250;198915;443;unbekannt;930;unbekannt;;durch Beschreibung aus Plan gelesen;nicht genutzt;nicht genutzt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Schwefelquelle Luchsingen;Schwefelquelle;Luchsingen;8775;720945;203110;309;unbekannt;718;unbekannt;;durch Beschreibung aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Hänigen 1;Hänigen;Matt;8766;732093;201226;320;Maduz;898;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Plan AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Hänigen 2;Hänigen;Matt;8766;732040;201327;320;Maduz;867;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Plan AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quellfassung Siwellenboden;Siwellenboden;Matt;8766;730123;202164;;unbekannt;1709;unbekannt;;aus Plan gelesen;Tränkewasser;Alp Bergli;Kunststofftank;unbekannt;unbekannt;unbekannt;Heinrich Marti, Sand, 8766 Matt;;;;;;;;F. Brunold;15-Jul-19;;;;;;;;;;
;Quelle Hüsliguet;Hüsliguet;Mitlödi;8756;725337;208579;146;unbekannt;500;unbekannt;;durch Beschreibung aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Mühle;Mühle/Langrüti;Mitlödi;8756;725120;208195;400;unbekannt;497;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Bachwasserfassung Schwändeli;Schwändi;Mollis;8753;725109;217110;;unbekannt;612;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Mario Blaser, 4.9.2012;;;;;;;;F. Brunold;15-Jul-19;;;;;;;;;;
;Bodenwaldbachquelle 1;Feldbachwald;Mollis;8753;724350;216010;1;unbekannt;463;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Bodenwaldbachquelle 2;Feldbachwald;Mollis;8753;724200;215910;1198;unbekannt;447;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
77-M;Quelle Beeriboden;Beeriboden;Mühlehorn;8874;731339;219352;21;unbekannt;556;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
200;Quelle Haafland;Haafland;Mühlehorn;8874;730376;220219;174;unbekannt;458;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
938;Quelle Riisler;Riisler;Mühlehorn;8874;731123;219977;140;unbekannt;521;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
;Rautialp Quelle 1;Altstafel;Näfels;8752;718537;214306;10;unbekannt;1794;im Boden;;aus Plan gelesen;Trinkwasser Alp;Wasserversorgung Alp Rauti;Gusseiserne Gratinform;schlecht;nicht vorhanden;kein Schacht;Gemeinde Glarus Nord;Ruedi Zimmermann, 058 611 79 73;;;;;;;F. Brunold;;;;;;;;;;;
;Rautialp Quelle 2;Altstafel;Näfels;8752;718189;214275;10;unbekannt;1710;über Boden, Höhe unbekannt;;aus Plan gelesen;Trinkwasser Alp;Wasserversorgung Alp Rauti;Betonschacht mit Fassungsstrang;mangelhaft;Plastikplane;Beton;Gemeinde Glarus Nord;Ruedi Zimmermann, 058 611 79 73;;;;;;;F. Brunold;;;;;;;;;;;
;Rautialp Quelle 3;Altstafel;Näfels;8752;718177;214215;10;unbekannt;1707;kein Schacht;;aus Plan gelesen;Trinkwasser Alp;Wasserversorgung Alp Rauti;Schlauch zwischen Steinen;schlecht;verrostetes Blech;kein Schacht;Gemeinde Glarus Nord;Ruedi Zimmermann, 058 611 79 73;;;;;;;F. Brunold;;;;;;;;;;;
;Rautialp Quelle 4;Rautirisenen;Näfels;8752;720118;214037;10;unbekannt;1958;unbekannt;;aus Plan gelesen;Trinkwasser Alp;Wasserversorgung Alp Rauti;unbekannt;unbekannt;unbekannt;unbekannt;Willi Pianta, Näfels;;;;;;;;F. Brunold;;;;;;;;;;;
;Viläggenbächlein;Viläggen;Näfels;8752;723340;217380;130;unbekannt;438;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
